history_id,issue_key,old_status,new_status,changed_by,changed_date
1,SEC-1,,To Do,user0036,2026-09-14
2,SEC-1,To Do,In Progress,user0033,2026-09-15
3,CLOUD-2,,To Do,user0009,2026-09-14
4,CLOUD-2,To Do,In Progress,user0006,2026-09-18
5,CLOUD-2,In Progress,Testing,user0023,2026-09-26
6,BI-3,,To Do,user0048,2026-09-14
7,BI-3,To Do,In Progress,user0050,2026-09-15
8,BI-3,In Progress,Testing,user0049,2026-09-18
9,BI-3,Testing,Done,user0038,2026-09-17
10,DATA-4,,To Do,user0034,2026-09-14
11,PORTAL-5,,To Do,user0048,2026-09-14
12,PORTAL-5,To Do,In Progress,user0036,2026-09-19
13,PORTAL-5,In Progress,Blocked,user0009,2026-09-28
14,ECOM-6,,To Do,user0027,2026-09-14
15,ECOM-6,To Do,In Progress,user0015,2026-09-20
16,ECOM-6,In Progress,Testing,user0014,2026-09-20
17,SEC-7,,To Do,user0039,2026-09-14
18,SEC-7,To Do,In Progress,user0028,2026-09-17
19,SEC-7,In Progress,Testing,user0024,2026-09-18
20,SEC-7,Testing,Done,user0047,2026-09-26
21,ERP-8,,To Do,user0035,2026-09-14
22,ERP-8,To Do,In Progress,user0045,2026-09-21
23,DATA-9,,To Do,user0034,2026-09-14
24,DATA-9,To Do,In Progress,user0041,2026-09-18
25,CLOUD-10,,To Do,user0049,2026-09-14
26,CLOUD-10,To Do,In Progress,user0021,2026-09-16
27,CLOUD-10,In Progress,Testing,user0031,2026-09-20
28,CLOUD-10,Testing,Done,user0030,2026-09-20
29,ECOM-11,,To Do,user0022,2026-09-14
30,ECOM-11,To Do,In Progress,user0008,2026-09-18
31,ECOM-11,In Progress,Testing,user0045,2026-09-20
32,ECOM-11,Testing,Done,user0029,2026-10-05
33,MOB-12,,To Do,user0029,2026-09-14
34,MOB-12,To Do,In Progress,user0044,2026-09-17
35,MOB-12,In Progress,Testing,user0030,2026-09-26
36,MOB-12,Testing,Done,user0013,2026-09-29
37,ERP-13,,To Do,user0045,2026-09-14
38,ERP-13,To Do,In Progress,user0039,2026-09-20
39,ECOM-14,,To Do,user0002,2026-09-14
40,ECOM-14,To Do,In Progress,user0005,2026-09-18
41,ECOM-14,In Progress,Testing,user0016,2026-09-18
42,ECOM-14,Testing,Done,user0028,2026-09-20
43,ERP-15,,To Do,user0033,2026-09-14
44,ERP-15,To Do,In Progress,user0044,2026-09-15
45,ERP-15,In Progress,Blocked,user0047,2026-09-18
46,CLOUD-16,,To Do,user0022,2026-09-14
47,CLOUD-16,To Do,In Progress,user0018,2026-09-17
48,CLOUD-17,,To Do,user0049,2026-09-14
49,CLOUD-17,To Do,In Progress,user0015,2026-09-16
50,CLOUD-17,In Progress,Testing,user0016,2026-09-22
51,BANK-18,,To Do,user0044,2026-09-14
52,BANK-18,To Do,In Progress,user0029,2026-09-19
53,BANK-18,In Progress,Testing,user0043,2026-09-22
54,BANK-18,Testing,Done,user0002,2026-10-02
55,PORTAL-19,,To Do,user0044,2026-09-14
56,PORTAL-19,To Do,In Progress,user0017,2026-09-15
57,BANK-20,,To Do,user0045,2026-09-14
58,SEC-21,,To Do,user0035,2026-09-14
59,BI-22,,To Do,user0027,2026-09-14
60,BI-22,To Do,In Progress,user0014,2026-09-15
61,BI-22,In Progress,Testing,user0018,2026-09-22
62,PORTAL-23,,To Do,user0010,2026-09-14
63,PORTAL-23,To Do,In Progress,user0024,2026-09-16
64,MOB-24,,To Do,user0049,2026-09-14
65,MOB-24,To Do,In Progress,user0026,2026-09-15
66,CRM-25,,To Do,user0009,2026-09-14
67,MOB-26,,To Do,user0030,2026-09-14
68,MOB-26,To Do,In Progress,user0021,2026-09-18
69,MOB-26,In Progress,Testing,user0022,2026-09-28
70,MOB-27,,To Do,user0047,2026-09-14
71,MOB-27,To Do,In Progress,user0019,2026-09-19
72,MOB-27,In Progress,Testing,user0001,2026-09-16
73,MOB-27,Testing,Done,user0010,2026-09-23
74,MOB-28,,To Do,user0001,2026-09-14
75,MOB-28,To Do,In Progress,user0044,2026-09-21
76,MOB-28,In Progress,Testing,user0037,2026-09-24
77,MOB-28,Testing,Done,user0038,2026-09-26
78,ERP-29,,To Do,user0034,2026-09-14
79,ERP-29,To Do,In Progress,user0022,2026-09-19
80,ERP-29,In Progress,Testing,user0027,2026-09-22
81,ERP-29,Testing,Done,user0001,2026-10-02
82,ERP-29,Done,Reopened,user0044,2026-09-18
83,CRM-30,,To Do,user0026,2026-09-14
84,CRM-30,To Do,In Progress,user0027,2026-09-20
85,MOB-31,,To Do,user0025,2026-09-14
86,MOB-31,To Do,In Progress,user0029,2026-09-20
87,MOB-31,In Progress,Testing,user0014,2026-09-24
88,MOB-31,Testing,Done,user0038,2026-10-05
89,ERP-32,,To Do,user0048,2026-09-14
90,PORTAL-33,,To Do,user0032,2026-09-14
91,PORTAL-33,To Do,In Progress,user0044,2026-09-19
92,MOB-34,,To Do,user0025,2026-09-14
93,MOB-34,To Do,In Progress,user0046,2026-09-20
94,MOB-34,In Progress,Testing,user0050,2026-09-16
95,MOB-34,Testing,Done,user0032,2026-10-02
96,ERP-35,,To Do,user0034,2026-09-14
97,ERP-35,To Do,In Progress,user0003,2026-09-19
98,ERP-35,In Progress,Blocked,user0037,2026-09-26
99,CRM-36,,To Do,user0048,2026-09-14
100,CRM-36,To Do,In Progress,user0035,2026-09-20
101,MOB-37,,To Do,user0041,2026-09-14
102,MOB-37,To Do,In Progress,user0002,2026-09-16
103,MOB-37,In Progress,Testing,user0043,2026-09-22
104,MOB-37,Testing,Done,user0037,2026-10-02
105,CLOUD-38,,To Do,user0016,2026-09-14
106,CLOUD-38,To Do,In Progress,user0016,2026-09-20
107,CLOUD-38,In Progress,Testing,user0005,2026-09-24
108,CLOUD-38,Testing,Done,user0007,2026-09-17
109,CLOUD-39,,To Do,user0013,2026-09-14
110,CLOUD-39,To Do,In Progress,user0009,2026-09-18
111,BI-40,,To Do,user0001,2026-09-14
112,BI-40,To Do,In Progress,user0048,2026-09-19
113,BI-40,In Progress,Testing,user0006,2026-09-18
114,BI-40,Testing,Done,user0022,2026-09-29
115,DATA-41,,To Do,user0044,2026-09-14
116,DATA-41,To Do,In Progress,user0046,2026-09-16
117,DATA-41,In Progress,Testing,user0025,2026-09-26
118,DATA-41,Testing,Done,user0050,2026-09-23
119,ERP-42,,To Do,user0031,2026-09-14
120,ERP-42,To Do,In Progress,user0017,2026-09-17
121,ERP-42,In Progress,Testing,user0027,2026-09-20
122,BI-43,,To Do,user0013,2026-09-14
123,BI-43,To Do,In Progress,user0047,2026-09-20
124,BI-43,In Progress,Testing,user0012,2026-09-28
125,BI-43,Testing,Done,user0042,2026-09-20
126,BI-43,Done,Reopened,user0022,2026-10-08
127,PORTAL-44,,To Do,user0024,2026-09-14
128,PORTAL-44,To Do,In Progress,user0042,2026-09-17
129,PORTAL-44,In Progress,Testing,user0030,2026-09-22
130,PORTAL-44,Testing,Done,user0034,2026-10-02
131,ECOM-45,,To Do,user0034,2026-09-14
132,ECOM-45,To Do,In Progress,user0043,2026-09-21
133,ECOM-45,In Progress,Testing,user0033,2026-09-20
134,ECOM-45,Testing,Done,user0036,2026-10-05
135,BANK-46,,To Do,user0001,2026-09-14
136,BANK-46,To Do,In Progress,user0024,2026-09-21
137,DATA-47,,To Do,user0022,2026-09-14
138,DATA-47,To Do,In Progress,user0031,2026-09-17
139,DATA-47,In Progress,Testing,user0012,2026-09-20
140,DATA-47,Testing,Done,user0002,2026-09-17
141,DATA-47,Done,Reopened,user0035,2026-09-22
142,ECOM-48,,To Do,user0048,2026-09-14
143,ECOM-48,To Do,In Progress,user0015,2026-09-16
144,CRM-49,,To Do,user0015,2026-09-14
145,CRM-49,To Do,In Progress,user0029,2026-09-20
146,ERP-50,,To Do,user0007,2026-09-14
147,ERP-50,To Do,In Progress,user0012,2026-09-17
148,PORTAL-51,,To Do,user0046,2026-09-14
149,PORTAL-51,To Do,In Progress,user0013,2026-09-17
150,ERP-52,,To Do,user0033,2026-09-14
151,ERP-52,To Do,In Progress,user0033,2026-09-20
152,DATA-53,,To Do,user0008,2026-09-14
153,DATA-53,To Do,In Progress,user0047,2026-09-16
154,CRM-54,,To Do,user0012,2026-09-14
155,CRM-54,To Do,In Progress,user0018,2026-09-20
156,CRM-54,In Progress,Blocked,user0011,2026-09-24
157,ERP-55,,To Do,user0036,2026-09-14
158,ERP-55,To Do,In Progress,user0019,2026-09-21
159,ERP-55,In Progress,Testing,user0003,2026-09-28
160,ERP-55,Testing,Done,user0048,2026-10-05
161,ERP-55,Done,Reopened,user0037,2026-10-12
162,PORTAL-56,,To Do,user0039,2026-09-14
163,PORTAL-56,To Do,In Progress,user0027,2026-09-21
164,CLOUD-57,,To Do,user0032,2026-09-14
165,ERP-58,,To Do,user0034,2026-09-14
166,BI-59,,To Do,user0022,2026-09-14
167,BI-59,To Do,In Progress,user0041,2026-09-16
168,BI-59,In Progress,Testing,user0021,2026-09-22
169,BI-59,Testing,Done,user0007,2026-10-05
170,DATA-60,,To Do,user0010,2026-09-14
171,DATA-60,To Do,In Progress,user0032,2026-09-15
172,DATA-60,In Progress,Testing,user0006,2026-09-18
173,DATA-60,Testing,Done,user0021,2026-10-05
174,BI-61,,To Do,user0037,2026-09-14
175,BI-61,To Do,In Progress,user0035,2026-09-20
176,BI-61,In Progress,Testing,user0004,2026-09-26
177,BI-61,Testing,Done,user0025,2026-09-23
178,CLOUD-62,,To Do,user0012,2026-09-14
179,CLOUD-62,To Do,In Progress,user0010,2026-09-16
180,CRM-63,,To Do,user0032,2026-09-14
181,PORTAL-64,,To Do,user0003,2026-09-14
182,PORTAL-64,To Do,In Progress,user0011,2026-09-16
183,SEC-65,,To Do,user0045,2026-09-14
184,MOB-66,,To Do,user0016,2026-09-14
185,MOB-66,To Do,In Progress,user0047,2026-09-21
186,MOB-66,In Progress,Testing,user0013,2026-09-28
187,MOB-66,Testing,Done,user0035,2026-09-26
188,SEC-67,,To Do,user0004,2026-09-14
189,SEC-67,To Do,In Progress,user0035,2026-09-18
190,SEC-67,In Progress,Blocked,user0001,2026-09-20
191,BI-68,,To Do,user0044,2026-09-14
192,BI-68,To Do,In Progress,user0018,2026-09-18
193,BI-68,In Progress,Testing,user0037,2026-09-18
194,MOB-69,,To Do,user0015,2026-09-14
195,MOB-69,To Do,In Progress,user0024,2026-09-19
196,MOB-69,In Progress,Testing,user0024,2026-09-20
197,MOB-69,Testing,Done,user0029,2026-09-17
