comment_id,issue_key,author,comment_date,comment
COM-00001,SEC-76,user0044,2026-07-02,Le développement avance correctement.
COM-00002,SEC-1877,user0033,2026-07-16,Le problème est reproduit en environnement de test.
COM-00003,BANK-3023,user0024,2026-04-25,Correction proposée dans la prochaine version.
COM-00004,BANK-3128,user0042,2026-02-24,Correction proposée dans la prochaine version.
COM-00005,ECOM-653,user0023,2026-07-03,Besoin de plus d'informations.
COM-00006,BI-1931,user0030,2025-11-22,Le développement avance correctement.
COM-00007,DATA-1824,user0036,2026-06-14,Le problème semble corrigé.
COM-00008,CRM-2776,user0029,2026-01-23,Besoin de plus d'informations.
COM-00009,BANK-1053,user0042,2026-04-07,Attention au délai prévu.
COM-00010,ERP-32,user0050,2025-09-28,Correction proposée dans la prochaine version.
COM-00011,SEC-1760,user0013,2026-01-26,Attention au délai prévu.
COM-00012,ERP-221,user0028,2026-07-14,Correction proposée dans la prochaine version.
COM-00013,MOB-2825,user0037,2026-08-23,Tests complémentaires nécessaires.
COM-00014,ECOM-4856,user0039,2025-10-25,Le développement avance correctement.
COM-00015,CRM-3137,user0029,2026-02-07,Le développement avance correctement.
COM-00016,MOB-1120,user0015,2026-04-04,Il faut vérifier ce comportement.
COM-00017,ERP-3748,user0050,2026-08-01,La fonctionnalité est prête pour les tests.
COM-00018,SEC-369,user0034,2026-06-10,Il faut vérifier ce comportement.
COM-00019,ERP-135,user0021,2025-11-14,Correction proposée dans la prochaine version.
COM-00020,ECOM-2708,user0009,2026-09-08,Il faut vérifier ce comportement.
COM-00021,CRM-3558,user0012,2025-10-21,Le problème est reproduit en environnement de test.
COM-00022,ERP-4723,user0027,2025-10-18,La fonctionnalité est prête pour les tests.
COM-00023,CLOUD-1082,user0011,2026-05-19,Il faut vérifier ce comportement.
COM-00024,PORTAL-900,user0037,2026-03-16,Le problème semble corrigé.
COM-00025,PORTAL-3425,user0020,2026-07-30,Le client demande une modification.
COM-00026,DATA-3890,user0006,2026-03-07,Correction proposée dans la prochaine version.
COM-00027,BANK-1871,user0018,2025-09-21,Il faut vérifier ce comportement.
COM-00028,CLOUD-4256,user0007,2026-04-21,Le problème est reproduit en environnement de test.
COM-00029,MOB-4913,user0007,2026-03-01,Attention au délai prévu.
COM-00030,ERP-4437,user0026,2026-06-12,Le développement avance correctement.
COM-00031,BI-3100,user0012,2026-07-30,La fonctionnalité est prête pour les tests.
COM-00032,PORTAL-1753,user0027,2026-07-01,Il faut vérifier ce comportement.
COM-00033,DATA-1690,user0043,2026-02-24,Le problème semble corrigé.
COM-00034,MOB-785,user0034,2026-07-19,Le client demande une modification.
COM-00035,ECOM-4211,user0029,2026-07-28,Le problème semble corrigé.
COM-00036,BANK-3112,user0032,2025-11-25,Besoin de plus d'informations.
COM-00037,CRM-3807,user0005,2025-11-13,Il faut vérifier ce comportement.
COM-00038,CLOUD-248,user0038,2026-03-06,Le développement avance correctement.
COM-00039,BANK-4797,user0016,2026-08-27,Correction proposée dans la prochaine version.
COM-00040,SEC-1325,user0001,2026-02-28,Besoin de plus d'informations.
COM-00041,PORTAL-3260,user0012,2026-03-27,La fonctionnalité est prête pour les tests.
COM-00042,CLOUD-3945,user0014,2025-11-07,Il faut vérifier ce comportement.
COM-00043,BANK-3163,user0039,2026-04-19,La fonctionnalité est prête pour les tests.
COM-00044,SEC-3522,user0010,2026-03-25,Le problème semble corrigé.
COM-00045,SEC-2635,user0037,2025-10-04,Il faut vérifier ce comportement.
COM-00046,MOB-3326,user0040,2026-04-15,Il faut vérifier ce comportement.
COM-00047,BANK-2937,user0035,2025-10-07,Le problème est reproduit en environnement de test.
COM-00048,PORTAL-219,user0040,2026-03-02,Il faut vérifier ce comportement.
COM-00049,BANK-139,user0001,2026-01-20,Correction proposée dans la prochaine version.
COM-00050,CLOUD-3509,user0028,2026-02-27,Besoin de plus d'informations.
COM-00051,SEC-2682,user0035,2026-09-04,Le développement avance correctement.
COM-00052,DATA-4443,user0012,2025-10-04,Besoin de plus d'informations.
COM-00053,SEC-1882,user0015,2026-04-03,Besoin de plus d'informations.
COM-00054,DATA-3732,user0039,2026-08-21,Tests complémentaires nécessaires.
COM-00055,PORTAL-3690,user0050,2026-01-13,Tests complémentaires nécessaires.
COM-00056,PORTAL-1674,user0005,2025-10-26,La fonctionnalité est prête pour les tests.
COM-00057,PORTAL-4265,user0040,2025-09-24,Correction proposée dans la prochaine version.
COM-00058,MOB-3326,user0021,2025-11-11,Besoin de plus d'informations.
COM-00059,PORTAL-2333,user0042,2026-01-31,Le problème semble corrigé.
COM-00060,ERP-2757,user0033,2026-08-10,Attention au délai prévu.
COM-00061,ECOM-4269,user0022,2025-10-27,Le problème semble corrigé.
COM-00062,ECOM-3860,user0045,2026-07-17,Correction proposée dans la prochaine version.
COM-00063,CRM-1517,user0024,2026-06-19,Besoin de plus d'informations.
COM-00064,ERP-2419,user0020,2025-10-16,Correction proposée dans la prochaine version.
COM-00065,ECOM-1823,user0035,2025-11-18,Besoin de plus d'informations.
COM-00066,MOB-1270,user0013,2026-06-16,Le client demande une modification.
COM-00067,CRM-843,user0049,2026-04-06,Le client demande une modification.
COM-00068,BANK-1205,user0038,2025-10-30,Correction proposée dans la prochaine version.
COM-00069,ECOM-4728,user0040,2026-02-01,Il faut vérifier ce comportement.
COM-00070,ECOM-656,user0037,2025-10-22,Attention au délai prévu.
COM-00071,ECOM-4110,user0046,2025-12-17,Attention au délai prévu.
COM-00072,CLOUD-1528,user0008,2026-01-30,Il faut vérifier ce comportement.
COM-00073,SEC-1952,user0032,2026-03-25,La fonctionnalité est prête pour les tests.
COM-00074,DATA-4948,user0028,2026-01-01,Le client demande une modification.
COM-00075,CLOUD-4101,user0035,2025-11-20,Besoin de plus d'informations.
COM-00076,CLOUD-1434,user0003,2026-06-30,Attention au délai prévu.
COM-00077,PORTAL-4067,user0039,2026-01-01,Besoin de plus d'informations.
COM-00078,PORTAL-1374,user0013,2025-12-22,Le problème semble corrigé.
COM-00079,PORTAL-2306,user0010,2026-06-02,Le problème semble corrigé.
COM-00080,SEC-666,user0033,2025-10-19,Le problème est reproduit en environnement de test.
COM-00081,PORTAL-3254,user0044,2026-01-06,Tests complémentaires nécessaires.
COM-00082,BI-2985,user0044,2026-02-08,Le client demande une modification.
COM-00083,BI-4760,user0002,2026-08-01,Le développement avance correctement.
COM-00084,DATA-610,user0048,2026-05-23,Le développement avance correctement.
COM-00085,ERP-1847,user0034,2026-03-25,Le développement avance correctement.
COM-00086,ECOM-820,user0012,2026-01-10,Il faut vérifier ce comportement.
COM-00087,MOB-4615,user0009,2026-04-03,Le client demande une modification.
COM-00088,BI-2375,user0026,2026-03-31,Correction proposée dans la prochaine version.
COM-00089,DATA-1633,user0004,2026-05-21,Le problème est reproduit en environnement de test.
COM-00090,BANK-4687,user0029,2026-07-09,Correction proposée dans la prochaine version.
COM-00091,BANK-4687,user0038,2026-04-30,La fonctionnalité est prête pour les tests.
COM-00092,ERP-4804,user0037,2025-11-30,Le problème est reproduit en environnement de test.
COM-00093,DATA-4014,user0048,2026-09-07,Le client demande une modification.
COM-00094,PORTAL-383,user0013,2026-04-18,Correction proposée dans la prochaine version.
COM-00095,DATA-4971,user0011,2026-08-18,Il faut vérifier ce comportement.
COM-00096,MOB-1910,user0010,2026-08-22,Le problème semble corrigé.
COM-00097,SEC-1705,user0039,2026-03-11,Le développement avance correctement.
COM-00098,SEC-3361,user0045,2025-10-11,Le problème semble corrigé.
COM-00099,ECOM-2141,user0003,2026-07-19,Le développement avance correctement.
COM-00100,MOB-2610,user0006,2026-08-16,La fonctionnalité est prête pour les tests.
COM-00101,ECOM-3155,user0014,2026-06-28,Tests complémentaires nécessaires.
COM-00102,CLOUD-1798,user0024,2025-10-04,Il faut vérifier ce comportement.
COM-00103,PORTAL-1938,user0001,2026-02-21,Correction proposée dans la prochaine version.
COM-00104,SEC-4984,user0039,2026-09-02,Le client demande une modification.
COM-00105,SEC-4668,user0009,2025-11-28,Le développement avance correctement.
COM-00106,MOB-552,user0013,2026-02-01,Correction proposée dans la prochaine version.
COM-00107,ERP-411,user0014,2026-02-02,Le client demande une modification.
COM-00108,MOB-1225,user0011,2026-06-12,Le problème semble corrigé.
COM-00109,SEC-4700,user0037,2025-11-04,La fonctionnalité est prête pour les tests.
COM-00110,BI-776,user0036,2025-12-26,Le problème est reproduit en environnement de test.
COM-00111,SEC-2373,user0015,2026-01-04,Le problème est reproduit en environnement de test.
COM-00112,BANK-3030,user0025,2026-01-18,La fonctionnalité est prête pour les tests.
COM-00113,ECOM-125,user0046,2026-09-10,Tests complémentaires nécessaires.
COM-00114,ERP-2337,user0045,2025-10-11,Le problème semble corrigé.
COM-00115,MOB-2409,user0027,2025-12-05,Le client demande une modification.
COM-00116,CRM-2949,user0024,2025-10-28,Attention au délai prévu.
COM-00117,CRM-4860,user0038,2026-08-06,Le développement avance correctement.
COM-00118,MOB-1754,user0013,2025-09-16,Attention au délai prévu.
COM-00119,CLOUD-2876,user0018,2026-04-14,La fonctionnalité est prête pour les tests.
COM-00120,CLOUD-2009,user0008,2026-05-09,La fonctionnalité est prête pour les tests.
COM-00121,CLOUD-3916,user0020,2026-04-05,Correction proposée dans la prochaine version.
COM-00122,ECOM-2463,user0030,2025-10-23,Tests complémentaires nécessaires.
COM-00123,CRM-3931,user0024,2026-06-08,Attention au délai prévu.
COM-00124,CLOUD-2411,user0041,2025-10-23,Correction proposée dans la prochaine version.
