custom_field_id,issue_key,field_name,field_value
CF-000001,SEC-1,Technical Complexity,Low
CF-000003,BI-3,Technical Complexity,High
CF-000004,DATA-4,Technical Complexity,Medium
CF-000006,ECOM-6,Technical Complexity,Medium
CF-000008,ERP-8,Business Value,Very High
CF-000011,ECOM-11,Risk Level,Very High
CF-000012,MOB-12,Business Value,Very High
CF-000014,ECOM-14,Business Value,Low
CF-000015,ERP-15,Risk Level,Low
CF-000017,CLOUD-17,Customer Impact,High
CF-000019,PORTAL-19,Customer Impact,High
CF-000021,SEC-21,Story Points,Low
CF-000022,BI-22,Technical Complexity,Very High
CF-000023,PORTAL-23,Technical Complexity,Medium
CF-000024,MOB-24,Story Points,High
CF-000025,CRM-25,Customer Impact,High
CF-000027,MOB-27,Story Points,Medium
CF-000028,MOB-28,Risk Level,Medium
CF-000029,ERP-29,Business Value,High
CF-000030,CRM-30,Technical Complexity,High
CF-000031,MOB-31,Story Points,High
CF-000034,MOB-34,Customer Impact,Medium
CF-000035,ERP-35,Business Value,Low
CF-000036,CRM-36,Technical Complexity,Low
CF-000038,CLOUD-38,Risk Level,Very High
CF-000040,BI-40,Risk Level,Low
CF-000041,DATA-41,Risk Level,High
CF-000044,PORTAL-44,Technical Complexity,High
CF-000045,ECOM-45,Technical Complexity,Medium
CF-000046,BANK-46,Risk Level,High
CF-000047,DATA-47,Story Points,Medium
CF-000048,ECOM-48,Story Points,Low
CF-000049,CRM-49,Technical Complexity,High
CF-000050,ERP-50,Story Points,Medium
CF-000051,PORTAL-51,Customer Impact,High
CF-000053,DATA-53,Risk Level,Medium
CF-000054,CRM-54,Risk Level,Medium
CF-000055,ERP-55,Risk Level,Medium
CF-000056,PORTAL-56,Story Points,Medium
CF-000058,ERP-58,Customer Impact,Medium
CF-000059,BI-59,Customer Impact,High
CF-000060,DATA-60,Business Value,Very High
CF-000061,BI-61,Technical Complexity,High
CF-000062,CLOUD-62,Customer Impact,High
CF-000064,PORTAL-64,Technical Complexity,Very High
