epic_id,epic_issue_key,project_key,epic_name,epic_status,start_date,target_date
EPIC-00026,MOB-26,MOB,Respect expérience supporter mariage pas bas.,Testing,2026-09-14,2026-11-21
EPIC-00046,BANK-46,BANK,Interrompre personne prière calme recevoir d'autres.,In Progress,2026-09-14,2026-10-31
EPIC-00066,MOB-66,MOB,Dépasser chien victime témoin épais médecin coûter champ me réunir social.,Done,2026-09-14,2026-09-29
EPIC-00088,CLOUD-88,CLOUD,Forêt maintenant plusieurs carte force pourtant.,To Do,2026-09-14,2026-10-09
EPIC-00144,CLOUD-144,CLOUD,Donc bleu peine puis gloire école franc notre malheur le habiller point.,Done,2026-09-14,2026-11-25
EPIC-00205,ERP-205,ERP,Jour accepter remonter rideau tant relever approcher confondre étage.,Done,2026-09-14,2026-10-22
EPIC-00233,ERP-233,ERP,Remonter gris moins veiller as palais ailleurs million choix.,In Progress,2026-09-14,2026-11-01
EPIC-00243,ECOM-243,ECOM,Demande mériter demande combat perdre premier derrière musique sujet.,To Do,2026-09-14,2026-11-20
EPIC-00261,CLOUD-261,CLOUD,Roche soulever tenir discours.,In Progress,2026-09-14,2026-11-10
EPIC-00267,BI-267,BI,Note note goutte combien après un dépasser.,Reopened,2026-09-14,2026-10-20
EPIC-00274,PORTAL-274,PORTAL,Malgré pareil bas votre tel coucher couche palais être.,In Progress,2026-09-14,2026-10-18
EPIC-00281,BI-281,BI,Effacer connaissance santé ciel plan chair signifier.,In Progress,2026-09-14,2026-11-08
EPIC-00294,CRM-294,CRM,Drôle mieux connaissance.,In Progress,2026-09-14,2026-10-31
EPIC-00350,ERP-350,ERP,Voyager déchirer complet beaucoup siècle qualité.,In Progress,2026-09-14,2026-10-26
EPIC-00368,BANK-368,BANK,Bord peser couper poitrine gagner montrer source.,Testing,2026-09-14,2026-12-03
EPIC-00390,BANK-390,BANK,Roche cause médecin déjà nuage existence blanc couvrir relever dessus déjà.,Reopened,2026-09-14,2026-10-21
EPIC-00410,BANK-410,BANK,Robe plante vaincre.,In Progress,2026-09-14,2026-10-06
EPIC-00437,CLOUD-437,CLOUD,Voyager chacun dépasser.,To Do,2026-09-14,2026-10-09
EPIC-00440,DATA-440,DATA,Inquiétude troubler retour brusquement étrange tour.,Done,2026-09-14,2026-12-01
EPIC-00443,BANK-443,BANK,Jeunesse avance goutte or soutenir neuf presser enfermer étendre humide voisin.,Done,2026-09-14,2026-11-30
EPIC-00471,MOB-471,MOB,Hésiter note toile matin demande histoire dès discours apprendre route livrer.,In Progress,2026-09-14,2026-12-05
EPIC-00474,BI-474,BI,Réserver danser respect rose étaler gros perte lire odeur sentir bras ah.,Done,2026-09-14,2026-12-09
EPIC-00511,ECOM-511,ECOM,Lumière herbe souvenir son rose.,In Progress,2026-09-14,2026-12-08
EPIC-00519,PORTAL-519,PORTAL,Nommer discours garde dire tôt empire précéder supporter prêt.,To Do,2026-09-14,2026-11-14
EPIC-00581,ERP-581,ERP,Signifier surveiller éclater vif pour valoir.,In Progress,2026-09-14,2026-11-07
EPIC-00598,PORTAL-598,PORTAL,Mériter tuer suivant jusque sourd éclairer passé lisser frais endroit.,Reopened,2026-09-14,2026-10-10
EPIC-00601,CLOUD-601,CLOUD,Terminer traîner heureux toit.,In Progress,2026-09-14,2026-09-21
EPIC-00602,MOB-602,MOB,Ce sombre course reconnaître commun veiller.,Testing,2026-09-14,2026-10-06
EPIC-00625,CRM-625,CRM,Venir exposer ensemble famille aspect consulter ci intelligence beaux.,Blocked,2026-09-14,2026-10-04
EPIC-00633,BANK-633,BANK,Été nul système le engager tout considérer difficile autant étendre entraîner venir.,Done,2026-09-14,2026-10-29
EPIC-00643,ERP-643,ERP,Manquer mur servir colline lisser demain.,Done,2026-09-14,2026-11-22
EPIC-00659,SEC-659,SEC,Devant hasard voler.,Done,2026-09-14,2026-11-28
EPIC-00665,ECOM-665,ECOM,Même vision traverser amuser enfermer maintenant nuage.,In Progress,2026-09-14,2026-11-12
EPIC-00667,MOB-667,MOB,Jeune rompre proposer selon.,Reopened,2026-09-14,2026-10-19
EPIC-00721,MOB-721,MOB,Entrée endormir instant désigner peser morceau aspect casser.,Reopened,2026-09-14,2026-09-27
EPIC-00743,CRM-743,CRM,Fusil montagne ni trembler roman entrer son élever.,In Progress,2026-09-14,2026-11-29
EPIC-00780,BI-780,BI,Jeunesse bonheur vaincre taire bon nécessaire blond ne posséder expérience marchand contenir.,To Do,2026-09-14,2026-09-21
EPIC-00781,BANK-781,BANK,Arriver compte pas fête prévoir champ y connaissance coûter.,In Progress,2026-09-14,2026-09-22
EPIC-00794,MOB-794,MOB,Rire donner assurer que réflexion vision calmer sueur.,Done,2026-09-14,2026-12-07
EPIC-00833,SEC-833,SEC,Page parcourir circonstance aucun aussitôt cesser voisin classe ramener accorder reste ou point.,Done,2026-09-14,2026-11-23
EPIC-00837,CRM-837,CRM,Place nuage voisin jeune.,To Do,2026-09-14,2026-11-11
EPIC-00841,DATA-841,DATA,Contenir lèvre consentir aussi.,In Progress,2026-09-14,2026-12-11
EPIC-00842,ERP-842,ERP,Libre vague mille doute trace chiffre l'une gens certes.,In Progress,2026-09-14,2026-10-18
EPIC-00878,CLOUD-878,CLOUD,Rêve pensée parmi bois amuser.,Done,2026-09-14,2026-10-06
EPIC-00889,ERP-889,ERP,Toujours contenir bois pauvre imposer séparer ouvert annoncer.,To Do,2026-09-14,2026-09-29
EPIC-00895,SEC-895,SEC,Depuis reculer cheval montagne maintenant bien livre éviter bas.,Reopened,2026-09-14,2026-11-27
EPIC-00945,CRM-945,CRM,Maintenir soleil perdre discuter forme.,In Progress,2026-09-14,2026-12-13
EPIC-01029,ECOM-1029,ECOM,Vert d'autres hésiter effet en pont.,In Progress,2026-09-14,2026-11-03
EPIC-01050,ERP-1050,ERP,Haut que user.,Blocked,2026-09-14,2026-12-07
EPIC-01060,SEC-1060,SEC,Été parole plaindre surtout tout.,In Progress,2026-09-14,2026-09-25
EPIC-01086,BANK-1086,BANK,Espèce profondément ton suite tel regretter pain jeune certainement prière sur.,Done,2026-09-14,2026-10-16
EPIC-01097,BI-1097,BI,Politique simple aventure roche.,In Progress,2026-09-14,2026-11-29
EPIC-01106,CLOUD-1106,CLOUD,Tête sauvage humide cabinet forcer.,To Do,2026-09-14,2026-11-28
EPIC-01119,CLOUD-1119,CLOUD,Important attitude digne fatiguer.,Done,2026-09-14,2026-12-10
EPIC-01122,BI-1122,BI,Position marier dire mort profond précis armer tache fidèle.,Blocked,2026-09-14,2026-11-28
