issue_id,issue_key,project_key,issue_type,summary,description,priority,status,reporter,assignee,created_date,updated_date,due_date,resolved_date,story_points,sprint_id,component_id,label,epic_link,environment,resolution
1,SEC-1,SEC,Story,Salle abandonner solitude impression article lune papa leur hésiter arrière.,"Certainement durer souhaiter joue amener parler retrouver. Endormir admettre froid de.
Trop paysan choisir toute éclairer près gauche. Visage dernier mériter fille toi loi souffrance.
Relever siècle établir représenter disposer. Droit égal noir.",High,In Progress,user0027,user0045,2026-09-14,2026-09-14,2026-10-28,,8.0,SPR-0017,COMP-0025,api,SEC-1060,Testing,
2,CLOUD-2,CLOUD,Task,Vérité celui verre erreur bois sentier boire tempête affirmer.,"Somme victime avance renverser discussion papier. Pendant seul seulement silencieux fidèle engager.
Animer aussitôt parmi titre vraiment qui habitant. Recherche préparer bois combat. Taille après retenir éclater fenêtre.",Low,Testing,user0028,user0037,2026-09-14,2026-09-14,2026-09-21,,3.0,SPR-0037,COMP-0039,api,CLOUD-88,Staging,
3,BI-3,BI,Task,Table plutôt ciel herbe éternel noir passage gouvernement désormais sentier couler.,"Briller figure exister écrire précieux aile sauter. Dormir moment pont quelqu'un armée oeuvre. Savoir taille remonter défaut réveiller danger content.
Parent taille pays en. Anglais façon certes tellement envelopper gauche.",High,Done,user0006,user0050,2026-09-14,2026-09-14,2026-10-12,2026-09-15,1.0,SPR-0037,COMP-0016,api,BI-1706,Staging,Done
4,DATA-4,DATA,Bug,Vent changer vers simple profondément violent verser.,"Beaucoup fonder discours ce fait race. Neuf saint travers brûler déjà. Ouvrir très environ.
Paysan partie inquiéter précis pencher. Changement tromper emmener larme. Demain marier flamme fatiguer. Genre quel choisir garder blond jusque froid.",High,To Do,user0030,user0026,2026-09-14,2026-09-14,2026-10-22,,5.0,SPR-0079,COMP-0041,mobile,,Testing,
5,PORTAL-5,PORTAL,Task,Double vert trouver saisir beaux crise passage vide arracher espace voisin reprendre.,"Sauter mien ni rôle. Envoyer chef système absence signifier.
Matin retourner bureau soirée. Affaire résister demeurer entre.
Arrivée que mal queue jambe. Loup brusquement lieu troisième apprendre répéter.",High,Blocked,user0015,user0011,2026-09-14,2026-09-14,2026-09-21,,21.0,SPR-0014,COMP-0045,performance,,Production,
6,ECOM-6,ECOM,Task,Blond premier seulement pendre règle prochain cruel humide découvrir et ignorer.,"Énergie énergie devant unique. Auquel savoir bête blanc quart rocher militaire. Vague mode plaisir fumée son traverser goût terminer.
Obéir étroit musique croire personne.
Étranger militaire calmer doute. Rien sentier vieux rouler oreille.",Highest,Testing,user0049,user0027,2026-09-14,2026-09-14,2026-11-19,,13.0,SPR-0068,COMP-0040,data,,Production,
7,SEC-7,SEC,Task,Cruel gens étaler fatigue produire remplacer monde bas arrivée ciel ouvert.,"Heure goutte officier garde cuisine. Calme gris droit poche journal placer après.
As courir troisième refuser réduire eaux cas lettre. Complètement fidèle prendre lèvre scène riche. Forme que haine importer.",High,Done,user0050,user0050,2026-09-14,2026-09-14,2026-11-17,2026-09-15,21.0,SPR-0032,COMP-0034,technical-debt,,Testing,Done
8,ERP-8,ERP,Task,Noire mais forcer encore établir escalier.,"Long calme long tantôt. Être valeur payer chef bord devenir.
Chien réalité avancer type parent inquiéter moins nation. Paupière voilà entraîner vide engager haut intention.",Medium,In Progress,user0009,user0010,2026-09-14,2026-09-14,2026-11-02,,3.0,SPR-0070,COMP-0015,production,,Testing,
9,DATA-9,DATA,Story,Liberté valeur huit roche secours visite barbe pays apparence.,Mais ombre facile terrible fixe remercier. Arrivée parmi espérer épaule million finir détacher seuil. Son espace ne chant étranger verser précéder folie.,Low,In Progress,user0027,user0023,2026-09-14,2026-09-14,2026-11-19,,5.0,SPR-0008,COMP-0050,mobile,DATA-1541,Development,
10,CLOUD-10,CLOUD,Story,Apprendre facile problème vêtir on ramener répéter delà dent.,"Fait trop vivre impossible drame. Lier genre classe couler odeur son. Passer son mien.
Seuil droite recueillir donc tant chef hasard. Rouge sourire tout garder forêt.",Highest,Done,user0032,user0015,2026-09-14,2026-09-14,2026-10-29,2026-09-15,5.0,SPR-0054,COMP-0018,production,CLOUD-1119,Production,Done
