sprint_id,sprint_name,project_key,board_id,start_date,end_date,goal,sprint_status
SPR-0001,ECOM Sprint 1,ECOM,,2026-04-03,2026-04-16,Politique semblable remonter découvrir an enfoncer distance.,Completed
SPR-0002,ECOM Sprint 2,ECOM,,2026-04-17,2026-04-30,Tenir monde printemps crise leur sourire.,Completed
SPR-0003,ECOM Sprint 3,ECOM,,2026-05-01,2026-05-14,Chaque changement question masse quinze grandir nerveux exprimer vraiment.,Completed
SPR-0004,ECOM Sprint 4,ECOM,,2026-05-15,2026-05-28,Loin beaucoup arbre bureau pareil respirer.,Active
SPR-0005,ECOM Sprint 5,ECOM,,2026-05-29,2026-06-11,Nouveau fin nouveau intelligence dessus mettre trente poids calmer.,Active
SPR-0006,ECOM Sprint 6,ECOM,,2026-06-12,2026-06-25,Raison regarder étage école cinq absence professeur problème vide recommencer.,Completed
SPR-0007,ECOM Sprint 7,ECOM,,2026-06-26,2026-07-09,Tendre sombre égal passage oiseau chien reconnaître matière rencontrer.,Completed
SPR-0008,ECOM Sprint 8,ECOM,,2026-07-10,2026-07-23,Terrible nuit juger cabinet extraordinaire voici rideau départ déposer monde.,Active
SPR-0009,MOB Sprint 1,MOB,BOARD-001,2025-03-23,2025-04-05,Bas jour autant réclamer réfléchir.,Active
SPR-0010,MOB Sprint 2,MOB,BOARD-002,2025-04-06,2025-04-19,Petit trop colline malade oeuvre véritable.,Completed
SPR-0011,MOB Sprint 3,MOB,BOARD-002,2025-04-20,2025-05-03,Rapport position preuve fort plante faux surveiller humide désigner au.,Completed
SPR-0012,MOB Sprint 4,MOB,BOARD-001,2025-05-04,2025-05-17,Noire défaut dangereux autorité.,Completed
SPR-0013,MOB Sprint 5,MOB,BOARD-002,2025-05-18,2025-05-31,Attacher auquel amuser époque lourd doute jouer matière profond source muet.,Completed
SPR-0014,MOB Sprint 6,MOB,BOARD-002,2025-06-01,2025-06-14,Réponse rien contenter blanc groupe goutte instant.,Active
SPR-0015,MOB Sprint 7,MOB,BOARD-004,2025-06-15,2025-06-28,Plein vivant bleu franc établir.,Completed
SPR-0016,MOB Sprint 8,MOB,BOARD-004,2025-06-29,2025-07-12,Désir contenter horizon glisser doute.,Active
