link_id,source_issue,target_issue,link_type
LINK-00001,ERP-576,SEC-1060,duplicates
LINK-00002,DATA-2473,PORTAL-1674,is duplicated by
LINK-00003,SEC-2448,BI-2060,duplicates
LINK-00004,DATA-4520,PORTAL-4969,blocks
LINK-00005,SEC-1103,PORTAL-2400,is duplicated by
LINK-00006,DATA-4524,DATA-2894,is blocked by
LINK-00007,CLOUD-277,MOB-1130,blocks
LINK-00008,CRM-4727,DATA-1099,is duplicated by
LINK-00009,ERP-2489,ERP-2104,relates to
LINK-00010,PORTAL-3827,SEC-3173,blocks
LINK-00011,SEC-666,BANK-836,blocks
LINK-00012,BANK-2488,ECOM-3463,duplicates
LINK-00013,PORTAL-3995,MOB-1144,blocks
LINK-00014,ERP-1378,BI-85,is duplicated by
LINK-00015,ECOM-4871,BI-2630,duplicates
LINK-00016,BANK-818,PORTAL-2133,relates to
LINK-00017,CLOUD-4239,ERP-3744,is blocked by
LINK-00018,CLOUD-1452,DATA-1497,relates to
LINK-00019,CRM-1010,BI-3264,duplicates
LINK-00020,PORTAL-1239,BI-478,blocks
LINK-00021,PORTAL-4911,MOB-308,duplicates
LINK-00022,BANK-4931,ERP-508,is duplicated by
LINK-00023,DATA-3544,CLOUD-3520,is duplicated by
LINK-00024,SEC-189,BI-2077,is blocked by
LINK-00025,MOB-3169,PORTAL-2242,is duplicated by
LINK-00026,ERP-417,ECOM-3071,is duplicated by
LINK-00027,SEC-4167,DATA-60,is duplicated by
LINK-00028,DATA-3234,BI-2303,blocks
LINK-00029,BANK-331,MOB-1286,blocks
LINK-00030,CRM-4592,CLOUD-3272,duplicates
LINK-00031,ECOM-1439,ECOM-1733,is duplicated by
LINK-00032,MOB-2320,SEC-3039,duplicates
LINK-00033,BI-3175,DATA-1269,duplicates
LINK-00034,CRM-2113,CLOUD-1119,is blocked by
LINK-00035,BI-3236,BI-2883,blocks
LINK-00036,MOB-3344,DATA-1824,blocks
LINK-00037,PORTAL-2482,MOB-2073,blocks
LINK-00038,PORTAL-3305,CLOUD-3823,is blocked by
LINK-00039,CRM-4249,BANK-2389,relates to
LINK-00040,PORTAL-2516,ECOM-2793,is blocked by
LINK-00041,ERP-2964,ECOM-1116,duplicates
LINK-00042,ECOM-3338,CRM-814,blocks
LINK-00043,BANK-1913,SEC-3086,relates to
LINK-00044,CRM-814,BANK-3321,is blocked by
LINK-00045,CLOUD-4196,CRM-4494,is duplicated by
LINK-00046,BANK-2819,ECOM-289,relates to
LINK-00047,SEC-3522,PORTAL-2917,blocks
LINK-00048,SEC-3379,SEC-1454,relates to
LINK-00049,SEC-4167,PORTAL-2644,relates to
LINK-00050,SEC-1146,CLOUD-1715,is blocked by
LINK-00051,MOB-4006,BANK-3053,blocks
LINK-00052,PORTAL-1105,ERP-4833,blocks
LINK-00053,MOB-12,ERP-3222,relates to
LINK-00054,ECOM-3996,BI-2171,is blocked by
LINK-00055,PORTAL-3350,BANK-2389,relates to
LINK-00056,DATA-3182,ERP-3786,is duplicated by
LINK-00057,SEC-1682,CRM-674,duplicates
LINK-00058,DATA-3451,CRM-4470,is blocked by
LINK-00059,MOB-1247,BI-2540,blocks
LINK-00060,BI-4365,DATA-1190,blocks
LINK-00061,SEC-4529,BI-703,is blocked by
LINK-00062,BI-971,DATA-2649,blocks
LINK-00063,ERP-2998,MOB-956,relates to
LINK-00064,CRM-2250,MOB-4074,duplicates
LINK-00065,BI-1132,CRM-4313,relates to
LINK-00066,ERP-981,CLOUD-324,blocks
LINK-00067,MOB-3354,ERP-2036,relates to
LINK-00068,CRM-1878,ECOM-4880,relates to
LINK-00069,CLOUD-1405,BANK-397,blocks
LINK-00070,ECOM-1397,CRM-3895,is duplicated by
LINK-00071,ERP-3388,BANK-498,is blocked by
LINK-00072,SEC-1728,BI-2147,is blocked by
LINK-00073,ERP-735,BANK-2822,is duplicated by
LINK-00074,SEC-2780,CLOUD-2251,duplicates
LINK-00075,MOB-556,PORTAL-693,is blocked by
LINK-00076,BI-2230,CRM-1713,is duplicated by
LINK-00077,SEC-432,BANK-3119,blocks
LINK-00078,ECOM-3986,ECOM-3858,blocks
LINK-00079,DATA-1693,PORTAL-568,is blocked by
LINK-00080,CRM-654,CRM-2065,is blocked by
LINK-00081,ERP-3876,BI-3549,is blocked by
LINK-00082,ECOM-1029,CRM-2724,is duplicated by
LINK-00083,MOB-1839,ECOM-1823,is duplicated by
LINK-00084,CLOUD-1155,PORTAL-2709,relates to
LINK-00085,MOB-1432,BI-3242,is duplicated by
LINK-00086,CRM-3714,BANK-2899,blocks
LINK-00087,CRM-1671,CRM-681,duplicates
