component_id,project_key,component_name,component_lead
COMP-0001,ECOM,API,user0005
COMP-0002,ECOM,Frontend,user0033
COMP-0003,ECOM,Backend,user0016
COMP-0004,ECOM,Infrastructure,user0018
COMP-0005,ECOM,Database,user0043
COMP-0006,MOB,Reporting,user0037
COMP-0007,MOB,API,user0031
COMP-0008,MOB,Database,user0016
COMP-0009,MOB,Payment,user0031
COMP-0010,MOB,Authentication,user0027
COMP-0011,CRM,API,user0023
COMP-0012,CRM,Frontend,user0028
COMP-0013,CRM,Security,user0027
COMP-0014,CRM,Payment,user0030
COMP-0015,CRM,Mobile,user0047
COMP-0016,DATA,Backend,user0022
COMP-0017,DATA,Frontend,user0007
COMP-0018,DATA,Mobile,user0016
COMP-0019,DATA,API,user0013
COMP-0020,DATA,Payment,user0013
COMP-0021,ERP,Security,user0018
COMP-0022,ERP,Reporting,user0030
COMP-0023,ERP,Database,user0016
COMP-0024,ERP,API,user0005
COMP-0025,ERP,Frontend,user0029
COMP-0026,BANK,Security,user0001
COMP-0027,BANK,Frontend,user0006
COMP-0028,BANK,Backend,user0049
COMP-0029,BANK,Payment,user0016
COMP-0030,BANK,Authentication,user0011
COMP-0031,PORTAL,Infrastructure,user0004
COMP-0032,PORTAL,Reporting,user0011
COMP-0033,PORTAL,Security,user0025
COMP-0034,PORTAL,Frontend,user0001
COMP-0035,PORTAL,API,user0025
COMP-0036,BI,Authentication,user0047
COMP-0037,BI,Reporting,user0036
COMP-0038,BI,Mobile,user0043
COMP-0039,BI,API,user0046
COMP-0040,BI,Payment,user0032
COMP-0041,SEC,Database,user0038
COMP-0042,SEC,API,user0048
COMP-0043,SEC,Authentication,user0035
COMP-0044,SEC,Frontend,user0004
COMP-0045,SEC,Backend,user0048
COMP-0046,CLOUD,Payment,user0033
COMP-0047,CLOUD,Backend,user0034
COMP-0048,CLOUD,Security,user0011
COMP-0049,CLOUD,Authentication,user0004
COMP-0050,CLOUD,API,user0033
